personId,firstName,lastName,birthdate,lastAttended,country,height,bodyWeight,guard,forward,center,draftYear,draftRound,draftNumber
101243,Chris,Alexander,,,,,,,,,,,
1626146,Cliff,Alexander,11/16/95,Kansas,USA,80,240,FALSE,TRUE,FALSE,-1,-1,-1
724,Cory,Alexander,6/22/73,Virginia,USA,73,190,TRUE,FALSE,FALSE,1995,1,29
2042,Courtney,Alexander,4/27/77,Fresno State,USA,77,2042,TRUE,FALSE,FALSE,2000,1,13
2650,Demetrius,Alexander,,,,,,,,,,,
76022,Gary,Alexander,11/1/69,South Florida,USA,79,76022,FALSE,TRUE,FALSE,-22,-22,-22
201570,Joe,Alexander,12/26/86,West Virginia,USA,80,230,FALSE,TRUE,FALSE,2008,1,8
1629734,Kyle,Alexander,10/21/96,Tennessee,Canada,82,216,FALSE,TRUE,TRUE,-1,-1,-1
1641725,Trey,Alexander,,,,,,,,,,,
1630234,Ty-Shon,Alexander,7/16/98,Creighton,USA,75,195,TRUE,FALSE,FALSE,-1,-1,-1
2349,Victor,Alexander,8/31/69,Iowa State,USA,82,265,FALSE,TRUE,FALSE,1991,1,17
1629638,Nickeil,Alexander-Walker,,,,,,TRUE,FALSE,FALSE,,,
1962937930,Carlos,Alexandre,,,,,,,,,,,
1628576,Bryce,Alford,1/18/95,UCLA,USA,,1628576,FALSE,FALSE,FALSE,-22,-22,-22
76024,Steve,Alford,11/23/64,Indiana,USA,74,183,TRUE,FALSE,FALSE,1987,2,26
1628959,Rawle,Alkins,10/29/97,Arizona,USA,77,225,TRUE,FALSE,FALSE,-1,-1,-1
76028,Bob,Allen,7/17/46,Marshall,USA,81,205,FALSE,TRUE,FALSE,1968,6,71
1628960,Grayson,Allen,,,,,,FALSE,TRUE,FALSE,,,
1628386,Jarrett,Allen,,,,,,FALSE,FALSE,FALSE,,,
43229,Jeff,Allen,,,,,,FALSE,FALSE,FALSE,,,
706,Jerome,Allen,1/28/73,Pennsylvania,USA,76,706,TRUE,FALSE,FALSE,1995,2,49
1628443,Kadeem,Allen,1/15/93,Arizona,USA,73,200,TRUE,FALSE,FALSE,2017,2,53
202730,Lavoy,Allen,2/4/89,Temple,USA,81,260,FALSE,TRUE,TRUE,2011,2,50
76027,Lucius,Allen,9/26/47,UCLA,USA,74,175,TRUE,FALSE,FALSE,1969,1,3
2124,Malik,Allen,6/27/78,Villanova,USA,82,255,FALSE,TRUE,FALSE,-1,-1,-1
1629305,Marcus,Allen,,,,,,,,,,,
76025,Randy,Allen,1/26/65,Florida State,USA,80,76025,FALSE,TRUE,FALSE,-22,-22,-22
951,Ray,Allen,7/20/75,Connecticut,USA,77,951,TRUE,FALSE,FALSE,1996,1,5
203206,Ryan,Allen,,,,,,,,,,,
1641851,Timmy,Allen,1/9/00,Texas,USA,78,1641851,FALSE,FALSE,FALSE,-22,-22,-22
2754,Tony,Allen,1/11/82,Oklahoma State,USA,76,213,TRUE,TRUE,FALSE,2004,1,25
196295497,Akech,Allir,,,,,,,,,,,
76029,Odis,Allison,10/2/49,UNLV,USA,78,195,FALSE,TRUE,FALSE,1971,5,76
200984,Lance,Allred,2/2/81,Weber State,USA,83,250,FALSE,FALSE,TRUE,-1,-1,-1
76030,Darrell,Allums,9/12/58,UCLA,USA,80,220,FALSE,TRUE,FALSE,1980,5,103
201165,Morris,Almond,2/2/85,Rice,USA,78,225,TRUE,FALSE,FALSE,2007,1,25
64001,Amit,Alon,,,,,,,,,,,
196295494,Yonatan,Alon,,,,,,,,,,,
308,Derrick,Alston,8/20/72,Duquesne,USA,83,225,FALSE,FALSE,TRUE,1994,2,33
1747,Rafer,Alston,7/24/76,Fresno State,USA,74,175,TRUE,FALSE,FALSE,1998,2,39
1630247,Derrick,Alston Jr.,9/17/97,Boise State,USA,,1630247,FALSE,FALSE,FALSE,-22,-22,-22
43309,Can,Altintig,,,,,,,,,,,
43191,Ben,Altit,,,,,,,,,,,
1824,Peter,Aluma,4/26/73,Liberty,USA,82,260,FALSE,FALSE,TRUE,-1,-1,-1
1630631,Jose,Alvarado,,,,,,TRUE,FALSE,FALSE,,,
680,John,Amaechi,11/26/70,Penn State,United Kingdom,82,270,FALSE,TRUE,TRUE,-1,-1,-1
732,Ashraf,Amaya,11/23/71,Southern Illinois,USA,80,732,FALSE,FALSE,FALSE,-22,-22,-22
202329,Al-Farouq,Aminu,9/21/90,Wake Forest,USA,80,202329,FALSE,TRUE,FALSE,2010,1,8
1966938153,Gil,Amitay,,,,,,,,,,,
200811,Lou,Amundson,12/7/82,UNLV,USA,81,220,FALSE,TRUE,FALSE,-1,-1,-1
76034,Bob,Anderegg,8/24/37,Michigan State,USA,75,76034,FALSE,TRUE,FALSE,1959,3,20
525,Andersen,Andersen,,,,,,,,,,,
2365,Chris,Andersen,7/7/78,Blinn J.C.,USA,82,245,FALSE,TRUE,TRUE,-1,-1,-1
2431,David,Andersen,6/23/80,FC Barcelona,Australia,,,,,,2002,2,36
56004,David,Andersen,,,,,,,,,,,
101187,Alan,Anderson,10/16/82,Michigan State,USA,78,220,TRUE,TRUE,FALSE,-1,-1,-1
41628,Alan,Anderson,,,,,,,,,,,
202079,Antonio,Anderson,6/5/85,Memphis,USA,78,215,TRUE,FALSE,FALSE,-1,-1,-1
1629190,C.J.,Anderson,,,,,,,,,,,
76035,Cliff,Anderson,9/7/44,St. Joseph's (PA),USA,74,76035,TRUE,FALSE,FALSE,1967,4,35
76036,Daniel,Anderson,1/1/51,Southern California,USA,74,185,TRUE,FALSE,FALSE,1974,6,92
1507,Derek,Anderson,7/18/74,Kentucky,USA,77,195,TRUE,FALSE,FALSE,1997,1,13
76037,Dwight,Anderson,12/28/60,Southern California,USA,75,185,TRUE,FALSE,FALSE,1982,2,41
1966938154,Eric,Anderson,,,,,,FALSE,FALSE,TRUE,,,
944,Eric,Anderson,5/26/70,Indiana,USA,81,220,FALSE,TRUE,FALSE,-1,-1,-1
246,Greg,Anderson,6/22/64,Houston,USA,82,250,FALSE,TRUE,TRUE,1987,1,23
202815,Jake,Anderson,,,,,,,,,,,
202341,James,Anderson,3/25/89,Oklahoma State,USA,78,213,TRUE,TRUE,FALSE,2010,1,20
76040,Jerome,Anderson,10/9/53,West Virginia,USA,77,195,TRUE,FALSE,FALSE,1975,3,53
1626147,Justin,Anderson,11/19/93,Virginia,USA,77,231,TRUE,TRUE,FALSE,2015,1,21
72,Kenny,Anderson,10/9/70,Georgia Tech,USA,73,168,TRUE,FALSE,FALSE,1991,1,2
203198,Kevin,Anderson,,,,,,,,,,,
76041,Kim,Anderson,5/12/55,Missouri,USA,79,200,FALSE,TRUE,FALSE,1978,7,146
203937,Kyle,Anderson,,,,,,FALSE,TRUE,FALSE,,,
196294559,Lachlan,Anderson,,,,,,,,,,,
76042,Michael,Anderson,3/23/66,Drexel,USA,71,184,TRUE,FALSE,FALSE,1988,3,73
76043,Mitchell,Anderson,9/23/60,Bradley,USA,80,195,FALSE,TRUE,FALSE,1982,2,36
98,Nick,Anderson,1/20/68,Illinois,USA,78,228,TRUE,TRUE,FALSE,1989,1,11
76045,Richard,Anderson,11/19/60,California-Santa Barbara,USA,82,240,FALSE,TRUE,FALSE,1982,2,32
76046,Ron,Anderson,10/15/58,Fresno State,USA,79,215,FALSE,TRUE,FALSE,1984,2,27
201583,Ryan,Anderson,5/6/88,California,USA,81,240,FALSE,TRUE,FALSE,2008,1,21
1000,Shandon,Anderson,12/31/73,Georgia,USA,78,215,TRUE,TRUE,FALSE,1996,2,54
335,Willie,Anderson,1/8/67,Georgia,USA,80,200,TRUE,TRUE,FALSE,1988,1,10
76048,Wally,Anderzunas,1/11/46,Creighton,USA,79,76048,FALSE,FALSE,TRUE,1969,2,25
1627882,Andrew,Andrews,,,,,,,,,,,
1962937812,Zach,Andrews,,,,,,,,,,,
101149,Martynas,Andriuskevicius,3/12/86,Zalgiris,Lithuania,86,240,FALSE,FALSE,TRUE,2005,2,44
43230,Brody,Angley,,,,,,FALSE,FALSE,FALSE,,,
1629132,Braian,Angola-Rodas,,,,,,,,,,,
76049,Don,Anielak,11/1/30,Missouri State,USA,79,190,FALSE,TRUE,FALSE,1954,3,26
196295097,Alec,Anigbata,,,,,,,,,,,
1628387,Ike,Anigbogu,10/16/98,UCLA,USA,82,250,FALSE,FALSE,TRUE,2017,2,47
41005,Michailas,Anisimovas,,,,,,,,,,,
76050,Michael,Ansley,2/8/67,Alabama,USA,79,225,FALSE,TRUE,FALSE,1989,2,37
1512,Chris,Anstey,1/1/75,South East Melbourne,Australia,84,249,FALSE,FALSE,TRUE,1997,1,18
203507,Giannis,Antetokounmpo,,,,,,FALSE,FALSE,FALSE,,,
1628961,Kostas,Antetokounmpo,11/20/97,University of Dayton,Greece,82,200,FALSE,TRUE,FALSE,2018,2,60
203648,Thanasis,Antetokounmpo,7/18/92,Panathinaikos,Greece,79,219,FALSE,TRUE,FALSE,2014,2,51
2546,Carmelo,Anthony,5/29/84,Syracuse,USA,79,238,FALSE,TRUE,FALSE,2003,1,3
1630175,Cole,Anthony,,,,,,TRUE,FALSE,FALSE,,,
21,Greg,Anthony,11/15/67,UNLV,USA,73,180,TRUE,FALSE,FALSE,1991,1,12
201202,Joel,Anthony,8/9/82,UNLV,Canada,81,245,FALSE,FALSE,TRUE,-1,-1,-1
203544,Pero,Antic,7/29/82,Olympiacos,Macedonia,83,260,FALSE,TRUE,TRUE,-1,-1,-1
196295061,Grant,Anticevich,,,,,,,,,,,
196294553,Jonah,Antonio,,,,,,,,,,,
1628384,OG,Anunoby,,,,,,FALSE,FALSE,FALSE,,,
2644,Rick,Apodaca,,,,,,,,,,,
203951,Keith,Appling,2/13/92,Michigan State,USA,73,203951,FALSE,FALSE,FALSE,-22,-22,-22
2737,Rafael,Araujo,8/12/80,Brigham Young,Brazil,83,270,FALSE,FALSE,TRUE,2004,1,8
76053,Stacey,Arceneaux,2/17/36,Iowa State,USA,76,76053,FALSE,FALSE,FALSE,-22,-22,-22
76054,Nate,Archibald,9/2/48,Texas-El Paso,USA,73,150,TRUE,FALSE,FALSE,1970,2,19
2425,Robert,Archibald,3/29/80,Illinois,Scotland,83,250,FALSE,TRUE,FALSE,2002,2,31
196295064,Chris,Arcidiacono,,,,,,,,,,,
1627853,Ryan,Arcidiacono,3/26/94,Villanova,USA,75,195,TRUE,FALSE,FALSE,-1,-1,-1
76055,Jim,Ard,9/19/48,Cincinnati,USA,81,215,FALSE,FALSE,TRUE,1970,1,6
2240,Gilbert,Arenas,1/6/82,Arizona,USA,76,215,TRUE,FALSE,FALSE,2001,2,30
43231,Liraz,Ariely,,,,,,,,,,,
2772,Trevor,Ariza,6/30/85,UCLA,USA,80,215,FALSE,TRUE,FALSE,2004,2,43
76056,Paul,Arizin,4/9/28,Villanova,USA,76,190,FALSE,TRUE,FALSE,1950,,
76057,Joe,Arlauckas,7/20/65,Niagara,USA,81,230,FALSE,TRUE,FALSE,1987,4,74
1631317,Adonis,Arms,6/26/98,Texas Tech,USA,,1631317,FALSE,FALSE,FALSE,-22,-22,-22
769,B.J.,Armstrong,9/9/67,Iowa,USA,74,185,TRUE,FALSE,FALSE,1989,1,18
76061,Bob,Armstrong,6/17/33,Michigan State,USA,80,76061,FALSE,FALSE,TRUE,-22,-22,-22
2220,Brandon,Armstrong,6/16/80,Pepperdine,USA,77,185,TRUE,FALSE,FALSE,2001,1,23
353,Darrell,Armstrong,6/22/68,Fayetteville State,USA,73,180,TRUE,FALSE,FALSE,-1,-1,-1
200756,Hilton,Armstrong,11/23/84,Connecticut,USA,83,235,FALSE,TRUE,TRUE,2006,1,12
76060,Paul,Armstrong,11/1/18,Indiana,USA,71,76060,TRUE,FALSE,FALSE,-22,-22,-22
1642379,Taran,Armstrong,,,,,,,,,,,
196294551,Taran,Armstrong,,,,,,,,,,,
76059,Tate,Armstrong,10/5/55,Duke,USA,75,175,TRUE,FALSE,FALSE,1977,1,13
76062,Jesse,Arnelle,12/30/33,Penn State,USA,77,220,FALSE,TRUE,FALSE,1955,2,13
76063,Jay,Arnette,12/19/38,Texas,USA,74,76063,TRUE,FALSE,FALSE,1960,2,9
547,Arnold,Arnold,,,,,,,,,,,
76064,Bob,Arnzen,11/3/47,Notre Dame,USA,77,76064,FALSE,TRUE,FALSE,1969,8,103
2306,Carlos,Arroyo,7/30/79,Florida International,Puerto Rico,74,200,TRUE,FALSE,FALSE,-1,-1,-1
590,Ender,Arslan,,,,,,,,,,,
201589,Darrell,Arthur,3/25/88,Kansas,USA,81,235,FALSE,TRUE,FALSE,2008,1,27
76065,John,Arthurs,8/15/47,Tulane,USA,76,185,TRUE,FALSE,FALSE,1969,6,73
1628503,Jamel,Artis,1/12/93,Pittsburgh,USA,79,213,TRUE,FALSE,FALSE,-1,-1,-1
1962937170,Netanel,Artzi,,,,,,,,,,,
1626165,Brandon,Ashley,,,,,,,,,,,
201600,Omer,Asik,7/4/86,Fenerbahce,Turkey,84,255,FALSE,FALSE,TRUE,2008,2,36
355,Vincent,Askew,2/28/66,Memphis,USA,78,210,TRUE,FALSE,FALSE,1987,2,39
173,Keith,Askins,12/15/67,Alabama,USA,80,173,TRUE,TRUE,FALSE,-22,-22,-22
76068,Don,Asmonga,2/15/28,Alliance,USA,74,185,TRUE,FALSE,FALSE,-1,-1,-1
202213,Connor,Atchley,,,,,,,,,,,
76069,Richard,Atha,9/21/31,Indiana State,USA,74,190,TRUE,FALSE,FALSE,1953,,
196294582,Yonatan,Atias,,,,,,,,,,,
1088,Chucky,Atkins,8/14/74,South Florida,USA,71,185,TRUE,FALSE,FALSE,-1,-1,-1
1626276,Darion,Atkins,,,,,,,,,,,
76070,Alvin,Attles,11/7/36,North Carolina A&T,USA,73,76070,TRUE,FALSE,FALSE,1960,5,39
76071,Chet,Aubuchon,5/8/16,Michigan State,USA,70,137,TRUE,FALSE,FALSE,-1,-1,-1
1641914,Chase,Audige,6/29/99,Northwestern,USA,,1641914,FALSE,FALSE,FALSE,-22,-22,-22
278,Stacey,Augmon,8/1/68,UNLV,USA,80,213,TRUE,TRUE,FALSE,1991,1,9
1627811,Zach,Auguste,,,,,,,,,,,
201571,D.J.,Augustin,11/10/87,Texas-Austin,USA,71,183,TRUE,FALSE,FALSE,2008,1,9
200788,James,Augustine,2/27/84,Illinois,USA,82,235,FALSE,TRUE,FALSE,2006,2,41
558,,Austin,,,,,,,,,,,
1627649,Brandon,Austin,,,,,,,,,,,
1134,Ike,Austin,8/18/69,Arizona State,USA,82,288,FALSE,FALSE,TRUE,1991,2,48
76073,John,Austin,8/31/44,Boston College,USA,72,76073,TRUE,FALSE,FALSE,1966,4,38
76074,Ken,Austin,7/15/61,Rice,USA,81,76074,FALSE,TRUE,FALSE,1983,5,101
1643113,Zack,Austin,,,,,,,,,,,
56070,Vule,Avdalovic,,,,,,,,,,,
1630166,Deni,Avdija,,,,,,FALSE,FALSE,FALSE,,,
138,Anthony,Avent,10/18/69,Seton Hall,USA,81,240,FALSE,FALSE,TRUE,1991,1,15
76076,William,Averitt,7/22/52,Pepperdine,USA,74,170,TRUE,FALSE,FALSE,1973,4,55
1895,William,Avery,8/8/79,Duke,USA,74,180,TRUE,FALSE,FALSE,1999,1,14
196294083,Niv,Avidan,,,,,,,,,,,
1627938,J.J.,Avila,,,,,,,,,,,
76078,Dennis,Awtrey,2/22/48,Santa Clara,USA,82,235,FALSE,FALSE,TRUE,1970,3,46
1630555,Joel,Ayayi,3/5/00,Gonzaga,France,76,180,TRUE,FALSE,FALSE,-1,-1,-1
202970,Gustavo,Ayon,4/1/85,Baloncesto Fuenlabrada,Mexico,,,,,,-1,-1,-1
2148,Mark,Ayotte,,,,,,,,,,,
201965,Jeff,Ayres,4/29/87,Arizona State,USA,81,250,FALSE,TRUE,TRUE,2009,2,31
1629028,Deandre,Ayton,7/23/98,Arizona,Bahamas,84,250,FALSE,FALSE,TRUE,2018,1,1
101235,Kelenna,Azubuike,12/16/83,Kentucky,United Kingdom,77,215,TRUE,FALSE,FALSE,-1,-1,-1
1628962,Udoka,Azubuike,9/17/99,Kansas,Nigeria,83,270,FALSE,TRUE,TRUE,2020,1,27
1629819,Yudai,Baba,,,,,,,,,,,
203569,Chris,Babb,2/14/90,Iowa State,USA,77,225,TRUE,FALSE,FALSE,-1,-1,-1
202337,Luke,Babbitt,6/20/89,Nevada-Reno,USA,81,225,FALSE,TRUE,FALSE,2010,1,16
76079,Milos,Babic,11/23/68,Tennessee Tech,USA,84,240,FALSE,FALSE,TRUE,1990,2,50
41002,Stepas,Babrauskas,,,,,,,,,,,
76080,Johnny,Bach,7/10/24,Fordham,USA,74,180,FALSE,TRUE,FALSE,1948,,
203947,Jordan,Bachynski,,,,,,,,,,,
1628407,Dwayne,Bacon,8/30/95,Florida State,USA,78,221,TRUE,TRUE,FALSE,2017,2,40
196294583,Dwayne,Bacon,,,,,,FALSE,TRUE,FALSE,,,
1630654,Armando,Bacot,3/6/00,North Carolina,USA,,1630654,FALSE,FALSE,FALSE,-22,-22,-22
2587,Malick,Badiane,,,,,,,,,,,
1630641,Ibou,Badji,10/13/02,FC Barcelona,Senegal,84,1630641,FALSE,FALSE,TRUE,-22,-22,-22
76081,Jim,Baechtold,12/9/27,Eastern Kentucky,USA,76,205,FALSE,TRUE,FALSE,1952,1,2
2053,Dalibor,Bagaric,7/2/80,Benston Zagreb,Croatia,85,290,FALSE,FALSE,TRUE,2000,1,24
76082,John,Bagley,4/23/60,Boston College,USA,72,185,TRUE,FALSE,FALSE,1982,1,12
1630542,Marcus,Bagley,,,,,,FALSE,TRUE,FALSE,,,
1628963,Marvin,Bagley III,3/14/99,Duke,USA,82,235,FALSE,TRUE,FALSE,2018,1,2
1642846,Ace,Bailey,,,,,,FALSE,FALSE,FALSE,,,
1641735,Amari,Bailey,2/17/04,UCLA,USA,75,1641735,TRUE,FALSE,FALSE,2023,2,41
76084,Carl,Bailey,4/23/58,Tuskegee,USA,84,210,FALSE,FALSE,TRUE,1980,3,66
76083,Gus,Bailey,2/18/51,Texas-El Paso,USA,77,185,TRUE,FALSE,FALSE,1974,2,23
76085,James,Bailey,5/21/57,Rutgers,USA,81,220,FALSE,TRUE,FALSE,1979,1,6
101228,Kyle,Bailey,,,,,,,,,,,
1847,Thurl,Bailey,4/7/61,North Carolina State,USA,83,247,FALSE,TRUE,FALSE,1983,1,7
1753,Toby,Bailey,11/19/75,UCLA,USA,78,213,TRUE,FALSE,FALSE,1998,2,45
203946,Cameron,Bairstow,12/7/90,New Mexico,Australia,81,203946,FALSE,TRUE,TRUE,2014,2,49
196295055,Sean,Bairstow,,,,,,,,,,,
1858,Mark,Baker,11/11/69,Ohio State,USA,73,175,TRUE,FALSE,FALSE,-1,-1,-1
2486,Maurice,Baker,7/28/79,Oklahoma State,USA,74,200,TRUE,FALSE,FALSE,-1,-1,-1
76089,Norm,Baker,2/17/23,Victoria,Canada,72,180,TRUE,FALSE,FALSE,-1,-1,-1
1627758,Ron,Baker,3/30/93,Wichita State,USA,76,220,TRUE,FALSE,FALSE,-1,-1,-1
452,Vin,Baker,11/23/71,Hartford,USA,83,240,FALSE,TRUE,FALSE,1993,1,8
1627836,Gracin,Bakumanya,,,,,,,,,,,
196294607,Franco,Balbi,,,,,,TRUE,FALSE,FALSE,,,
64143,Franco,Balbi,,,,,,,,,,,
1627735,Wade,Baldwin IV,3/29/96,Vanderbilt,USA,76,200,TRUE,FALSE,FALSE,2016,1,17
1631116,Patrick,Baldwin Jr.,11/18/02,Wisconsin-Milwaukee,USA,81,220,FALSE,TRUE,FALSE,2022,1,28
200764,Renaldo,Balkman,7/14/84,South Carolina,USA,80,225,FALSE,TRUE,FALSE,2006,1,20
76090,Cedric,Ball,4/16/68,North Carolina-Charlotte,USA,80,210,FALSE,TRUE,FALSE,-1,-1,-1
1630163,LaMelo,Ball,,,,,,FALSE,FALSE,FALSE,,,
1629071,LiAngelo,Ball,11/24/98,,USA,,,,,,2018,,
1628366,Lonzo,Ball,,,,,,FALSE,FALSE,FALSE,,,
76091,Greg,Ballard,1/29/55,Oregon,USA,79,215,FALSE,TRUE,FALSE,1977,1,4
1630642,Mitch,Ballock,7/2/98,Creighton,USA,,1630642,FALSE,FALSE,FALSE,-22,-22,-22
76092,Herschel,Baltimore,6/21/21,Penn State,USA,76,195,FALSE,TRUE,FALSE,-1,-1,-1
1628964,Mo,Bamba,,,,,,FALSE,FALSE,TRUE,,,
1631094,Paolo,Banchero,,,,,,FALSE,FALSE,FALSE,,,
1630217,Desmond,Bane,,,,,,FALSE,FALSE,FALSE,,,
43200,Marko,Banic,,,,,,,,,,,
76093,Gene,Banks,5/15/59,Duke,USA,79,215,FALSE,TRUE,FALSE,1981,2,28
2556,Marcus,Banks,11/19/81,UNLV,USA,74,205,TRUE,FALSE,FALSE,2003,1,13
101252,Sean,Banks,,,,,,,,,,,
1630791,James,Banks III,1/16/98,Georgia Tech,USA,,1630791,FALSE,FALSE,FALSE,-22,-22,-22
76094,Ken,Bannister,4/1/60,St. Augustine's,USA,81,235,FALSE,TRUE,FALSE,1984,7,156
76095,Mike,Bantom,12/3/51,St. Joseph's (PA),USA,81,200,FALSE,TRUE,FALSE,1973,1,8
1630625,Dalano,Banton,,,,,,TRUE,FALSE,FALSE,,,
43232,Tomer,Bar-Even,,,,,,,,,,,
